x	y	z	Phi	Fx	Fy	Fz	Rho
0	0	0.42571705	-2.1054865	0	0	2.5681173	0.21408408
0	0	0.47970945	-1.9733763	0	0	2.3279285	0.12881674
0	0	0.54042272	-1.8397387	0	0	2.0786854	0.070275935
0	0	0.60869346	-1.7065296	0	0	1.8289036	0.03023472
0	0	0.6854624	-1.5757695	0	0	1.5836748	0.0061275598
0	0	0.77178738	-1.4494695	0	0	1.3504987	0.002278913
0	0	0.86885792	-1.3288552	0	0	1.1432956	0.0088364536
0	0	0.97801162	-1.2142858	0	0	0.96406391	0.014234744
0	0	1.1007525	-1.1057501	0	0	0.81157284	0.014673995
0	0	1.238772	-1.0033209	0	0	0.67802445	0.0089596895
0	0	1.3939719	-0.90756383	0	0	0.56102439	0.0044649636
0	0	1.5684907	-0.81883323	0	0	0.46049408	0.0017523282
0	0	1.7647333	-0.73719576	0	0	0.37571248	0.0006890311
0	0	1.9854037	-0.66246022	0	0	0.30523386	0.00032627274
0	0	2.2335428	-0.59430849	0	0	0.24710199	0.00021426117
0	0	2.5125697	-0.53236341	0	0	0.19941192	0.0001220831
0	0	2.8263293	-0.47625368	0	0	0.16032143	3.6520791e-05
0	0	3.1791452	-0.4256175	0	0	0.12843803	0
0	0	3.5758788	-0.38007355	0	0	0.10261296	2.9013848e-05
0	0	4.021997	-0.33915275	0	0	0.081980209	1.3496166e-05
0	0	4.5236471	-0.30242786	0	0	0.065365092	6.2745083e-06
0	0	5.0877416	-0.26952854	0	0	0.052032097	2.9157844e-06
0	0	5.7220535	-0.24009991	0	0	0.041363737	1.3544881e-06
0	0	6.4353232	-0.21380736	0	0	0.032847555	6.2903008e-07
0	0	7.2373793	-0.19033931	0	0	0.026062326	2.920594e-07
0	0	8.1392738	-0.1694085	0	0	0.020664509	1.3558035e-07
0	0	9.1534343	-0.15075209	0	0	0.016375685	6.2931217e-08
0	0	10.293835	-0.13413108	0	0	0.01297135	2.9207453e-08
0	0	11.576191	-0.11932917	0	0	0.010271205	1.3554727e-08
0	0	13.018172	-0.10615132	0	0	0.0081309145	6.290226e-09
0	0	14.639648	-0.094422187	0	0	0.0064352315	2.9189522e-09
0	0	16.462963	-0.0839845	0	0	0.0050923185	1.3544975e-09
0	0	18.513239	-0.074697462	0	0	0.0040291115	6.2852689e-10
0	0	20.81873	-0.066435203	0	0	0.003187556	2.9165332e-10
0	0	23.411204	-0.059085323	0	0	0.0025215698	1.3533481e-10
0	0	26.326383	-0.052547543	0	0	0.0019946037	6.2799068e-11
0	0	29.604439	-0.046732461	0	0	0.0015776867	2.9140637e-11
0	0	33.29054	-0.041560413	0	0	0.001247867	1.3522212e-11
0	0	37.43548	-0.036960449	0	0	0.00098696769	6.2747975e-12
0	0	42.096373	-0.032869398	0	0	0.00078059844	2.9117577e-12
0	0	47.337445	-0.029231029	0	0	0.00061736903	1.3511836e-12
0	0	53.230915	-0.025995302	0	0	0.0004882657	6.2701377e-13
0	0	59.857993	-0.023117691	0	0	0.00038615638	2.909667e-13
0	0	67.309996	-0.020558585	0	0	0.00030539851	1.3502458e-13
0	0	75.689609	-0.018282746	0	0	0.00024152839	6.2659301e-14
0	0	85.1123	-0.016258827	0	0	0.00019101508	2.9077777e-14
0	0	95.707908	-0.014458951	0	0	0.00015106569	1.3493966e-14
0	0	107.62244	-0.012858319	0	0	0.00011947116	6.2621081e-15
0	0	121.02006	-0.011434879	0	0	9.4484318e-05	2.9060551e-15
0	0	136.0854	-0.010169016	0	0	7.4723287e-05	1.3486189e-15
0	0	153.02603	-0.0090432873	0	0	5.9095166e-05	6.2585913e-16
0	0	172.07541	-0.0080421801	0	0	4.6735601e-05	2.904462e-16
0	0	193.49601	-0.0071518984	0	0	3.6960996e-05	1.347896e-16
0	0	217.583	-0.0063601736	0	0	2.9230721e-05	6.2553054e-17
0	0	244.6683	-0.0056560951	0	0	2.3117212e-05	2.9029663e-17
0	0	275.12512	-0.00502996	0	0	1.8282328e-05	1.3472141e-17
0	0	309.37314	-0.0044731397	0	0	1.4458647e-05	6.2521919e-18
0	0	347.88429	-0.0039779607	0	0	1.1434677e-05	2.9015411e-18
0	0	391.18923	-0.003537599	0	0	9.0431624e-06	1.3465627e-18
0	0	439.88468	-0.0031459861	0	0	7.1518248e-06	6.249206e-19
0	0	494.64164	-0.0027977253	0	0	5.6560538e-06	2.9001691e-19
0	0	556.21464	-0.0024880174	0	0	4.4731177e-06	1.3459293e-19
0	0	625.45212	-0.0022125945	0	0	3.5375878e-06	6.2462918e-20
