R/R500   log(R/R500)    P/P500    log(P/P500)  RhoGas   TGas
2.592565  0.414   0.574474  -0.241  4.43e-28   20.1 
2.701146  0.432   0.505701  -0.296  4.19e-28   18.7 
2.814190  0.449   0.443833  -0.353  3.97e-28   17.3 
2.931696  0.467   0.388235  -0.411  3.76e-28   16 
3.055151  0.485   0.338286  -0.471  3.56e-28   14.7 
3.183069  0.503   0.293360  -0.533  3.37e-28   13.5 
3.316936  0.521   0.252788  -0.597  3.19e-28   12.3 
3.455266  0.538   0.216396  -0.665  3.02e-28   11.1 
3.599545  0.556   0.183420  -0.737  2.86e-28   9.94 
3.751261  0.574   0.153731  -0.813  2.71e-28   8.8 
3.907440  0.592   0.126998  -0.896  2.56e-28   7.68 
4.071056  0.610   0.102833  -0.988  2.43e-28   6.57 
4.242108  0.628   0.081061  -1.091  2.3e-28   5.47 
4.420598  0.645   0.061386  -1.212  2.18e-28   4.38 
4.605038  0.663   0.043634  -1.360  2.06e-28   3.29 
4.798402  0.681   0.027585  -1.559  1.95e-28   2.19 
4.999203  0.699   0.013081  -1.883  1.85e-28   1.1 
5.208928  0.717   -0.000014  nan  1.75e-28   -0.00128 
