# R     RhoDM      RhoGas     MDM      MGas      TGas      FGrav
0.1061 2.558e-25 8.136e-26 1.681e+44 6.366e+43 9.231 0.6332
0.1113 2.44e-25 7.893e-26 1.846e+44 7.185e+43 9.259 0.6289
0.1166 2.328e-25 7.645e-26 2.029e+44 8.1e+43 9.293 0.6246
0.1222 2.22e-25 7.394e-26 2.229e+44 9.121e+43 9.332 0.62
0.1281 2.118e-25 7.14e-26 2.449e+44 1.026e+44 9.375 0.6153
0.1343 2.021e-25 6.883e-26 2.69e+44 1.152e+44 9.424 0.6104
0.1408 1.928e-25 6.625e-26 2.956e+44 1.292e+44 9.478 0.6054
0.1476 1.839e-25 6.367e-26 3.248e+44 1.448e+44 9.537 0.6002
0.1547 1.754e-25 6.11e-26 3.568e+44 1.62e+44 9.6 0.5948
0.1621 1.673e-25 5.853e-26 3.92e+44 1.81e+44 9.669 0.5893
0.17 1.596e-25 5.599e-26 4.307e+44 2.02e+44 9.743 0.5835
0.1781 1.523e-25 5.348e-26 4.732e+44 2.251e+44 9.822 0.5776
0.1867 1.453e-25 5.1e-26 5.199e+44 2.506e+44 9.905 0.5715
0.1957 1.386e-25 4.856e-26 5.712e+44 2.785e+44 9.993 0.5653
0.2052 1.322e-25 4.617e-26 6.275e+44 3.092e+44 10.09 0.5588
0.2151 1.261e-25 4.384e-26 6.894e+44 3.428e+44 10.18 0.5522
0.2254 1.203e-25 4.156e-26 7.574e+44 3.795e+44 10.29 0.5454
0.2363 1.147e-25 3.935e-26 8.321e+44 4.196e+44 10.39 0.5384
0.2477 1.094e-25 3.721e-26 9.142e+44 4.633e+44 10.5 0.5312
0.2596 1.044e-25 3.513e-26 1.004e+45 5.11e+44 10.62 0.5238
0.2721 9.959e-26 3.313e-26 1.103e+45 5.629e+44 10.73 0.5163
0.2853 9.499e-26 3.121e-26 1.212e+45 6.193e+44 10.86 0.5086
0.299 9.061e-26 2.936e-26 1.332e+45 6.805e+44 10.98 0.5007
0.3134 8.643e-26 2.76e-26 1.463e+45 7.468e+44 11.11 0.4926
0.3285 8.244e-26 2.591e-26 1.608e+45 8.187e+44 11.24 0.4844
0.3444 7.864e-26 2.429e-26 1.766e+45 8.965e+44 11.37 0.476
0.361 7.501e-26 2.276e-26 1.94e+45 9.806e+44 11.51 0.4675
0.3784 7.155e-26 2.131e-26 2.131e+45 1.071e+45 11.64 0.4589
0.3966 6.825e-26 1.993e-26 2.342e+45 1.17e+45 11.78 0.4501
0.4157 6.509e-26 1.862e-26 2.572e+45 1.275e+45 11.92 0.4411
0.4358 6.209e-26 1.739e-26 2.826e+45 1.389e+45 12.06 0.4321
0.4568 5.922e-26 1.622e-26 3.105e+45 1.512e+45 12.2 0.4229
0.4788 5.648e-26 1.513e-26 3.411e+45 1.644e+45 12.34 0.4136
0.5019 5.387e-26 1.41e-26 3.747e+45 1.786e+45 12.48 0.4042
0.526 5.138e-26 1.313e-26 4.116e+45 1.939e+45 12.62 0.3947
0.5514 4.901e-26 1.223e-26 4.521e+45 2.103e+45 12.75 0.3852
0.578 4.674e-26 1.138e-26 4.967e+45 2.279e+45 12.89 0.3756
0.6058 4.458e-26 1.058e-26 5.456e+45 2.468e+45 13.02 0.3659
0.635 4.252e-26 9.841e-27 5.994e+45 2.671e+45 13.14 0.3563
0.6657 4.055e-26 9.149e-27 6.584e+45 2.889e+45 13.27 0.3466
0.6977 3.867e-26 8.503e-27 7.232e+45 3.123e+45 13.39 0.3368
0.7314 3.688e-26 7.902e-27 7.945e+45 3.374e+45 13.51 0.3271
0.7666 3.517e-26 7.342e-27 8.727e+45 3.643e+45 13.62 0.3173
0.8036 3.354e-26 6.821e-27 9.586e+45 3.932e+45 13.72 0.3076
0.8423 3.198e-26 6.337e-27 1.053e+46 4.241e+45 13.82 0.298
0.8829 3.05e-26 5.887e-27 1.157e+46 4.573e+45 13.92 0.2884
0.9255 2.909e-26 5.469e-27 1.27e+46 4.929e+45 14 0.2788
0.9701 2.773e-26 5.082e-27 1.395e+46 5.311e+45 14.08 0.2694
1.017 2.645e-26 4.723e-27 1.533e+46 5.721e+45 14.15 0.2601
1.066 2.522e-26 4.389e-27 1.683e+46 6.161e+45 14.21 0.2508
1.117 2.405e-26 4.081e-27 1.849e+46 6.633e+45 14.26 0.2417
1.171 2.293e-26 3.795e-27 2.031e+46 7.14e+45 14.31 0.2326
1.228 2.186e-26 3.53e-27 2.23e+46 7.685e+45 14.34 0.2237
1.287 2.084e-26 3.285e-27 2.45e+46 8.27e+45 14.36 0.215
1.349 1.987e-26 3.058e-27 2.69e+46 8.899e+45 14.37 0.2064
1.414 1.894e-26 2.848e-27 2.955e+46 9.576e+45 14.37 0.198
1.482 1.806e-26 2.653e-27 3.245e+46 1.03e+46 14.35 0.1897
1.553 1.722e-26 2.473e-27 3.563e+46 1.109e+46 14.33 0.1817
1.628 1.641e-26 2.307e-27 3.913e+46 1.193e+46 14.28 0.1738
1.707 1.565e-26 2.153e-27 4.297e+46 1.284e+46 14.23 0.1662
1.789 1.491e-26 2.011e-27 4.719e+46 1.382e+46 14.16 0.1587
1.875 1.421e-26 1.879e-27 5.181e+46 1.488e+46 14.07 0.1514
1.966 1.355e-26 1.757e-27 5.689e+46 1.603e+46 13.97 0.1443
2.06 1.291e-26 1.644e-27 6.247e+46 1.726e+46 13.86 0.1375
2.16 1.231e-26 1.539e-27 6.859e+46 1.86e+46 13.73 0.1308
2.264 1.173e-26 1.442e-27 7.531e+46 2.004e+46 13.58 0.1244
2.373 1.118e-26 1.352e-27 8.268e+46 2.161e+46 13.42 0.1182
2.487 1.065e-26 1.269e-27 9.078e+46 2.331e+46 13.24 0.1123
2.607 1.015e-26 1.192e-27 9.966e+46 2.515e+46 13.04 0.1065
