#             ra            dec     g_final[0]     g_final[1]        w_final       Sc_final       rg_final        z_final           mask
       6.9696337     -55.931213     0.12311996    -0.62540664      2.1856371  3.6084687e-10      4.3963216          1.065          11010
       6.9693312     -55.939095    -0.21789362    -0.77297295      2.3077674  3.2626187e-10      4.1965761          0.851          11010
       6.9792138     -55.932275     -0.4252235     0.35566003      1.4615164       3.55e-10      4.5987215           1.02          11001
       6.9752932      -55.97092     0.10358414     0.15232733      2.0464182  3.4768079e-10      4.3589365          0.971          10101
       6.9689045     -55.918452    -0.65607945    -0.11215036      1.4618112  3.4604029e-10      3.3385431          0.961          11100
        6.970243      -55.97623    -0.02527377    -0.17025122      2.2043137  2.4937713e-10      5.4889849          0.591          11100
       6.9702615     -55.944523     0.18937369     0.13494948       1.408089   3.496118e-10      3.4491637          0.983          11100
        6.968988     -55.911572    -0.42729079     0.12491234      1.8905942  2.8121772e-10      4.6546136          0.677          11100
       6.9768375     -55.927673    -0.11723033     0.34406243       2.143612       3.55e-10      4.2575326           1.02          11001
       6.9781683     -55.982902     0.62182005     0.32333473      2.3321085  3.3091846e-10      4.2591464          0.874           1101
       6.9726292     -55.976553     0.58230587    -0.11537376      2.2043137  2.3883496e-10      4.7577783          0.568          11100
       6.9717238     -55.969355    -0.68740977     0.71187462      2.2999313  3.4223929e-10      4.3424946          0.937          11001
        6.970079     -55.915218    -0.43129116    -0.34262146      2.5949717  2.7786051e-10      4.0804808          0.667          10110
       6.9747642     -55.943193    0.066205852   -0.098750082       1.525429       3.55e-10      4.6476481           1.02             11
        6.974451     -55.938412    -0.33137505    -0.83209722      2.5177882  3.1888512e-10      4.5701294          0.816             11
        6.975869     -55.938655     0.23465921   0.0076153394       2.353062       3.55e-10      4.5266875           1.02             11
       6.9752073     -55.937163   -0.077600246     0.13565645      1.5548279       3.55e-10      4.5278861           1.02             11
       6.9733223     -55.942037  -0.0020935873     0.47656776      1.2399066       3.55e-10      4.5641129           1.02             11
        6.973812     -55.939363     -0.8010678    -0.25383563      2.2658399       3.55e-10      4.5570778           1.02             11
       6.9749127      -55.94824    0.091300045    0.072845751      2.1129076  3.2699728e-10      4.2011315          0.854           1001
        6.975022     -55.930045     0.47183352    -0.13657733       2.159359       3.55e-10      4.5862126           1.02             11
       6.9739497     -55.958407    -0.23632525    0.060683715      2.1877144       3.55e-10       4.531812           1.02             11
        6.975277     -55.935648     0.16097444    -0.22326659      2.5177882  3.5689626e-10      4.5453801          1.034             11
       6.9749895     -55.963758   -0.015139339    -0.16407004      2.5177882  3.3319649e-10      4.5663192          0.887             11
         6.97483     -55.947403    -0.81685116     -0.3820831      2.2610904       3.55e-10      4.6220808           1.02             11
       6.9791393      -55.94709    -0.36971161    -0.45725417      1.5714062       3.55e-10      4.0691464           1.02           1001
         6.97447     -55.957072     0.27780858    -0.39748826      2.1224984       3.55e-10      4.5528724           1.02             11
        6.975489     -55.951875   -0.042152463     0.21315878      2.4952132       3.55e-10      4.6016807           1.02             11
       6.9713408      -55.92754    0.098103576     0.24199908      2.1057794  2.5410064e-10      4.1481693          0.603           1010
        6.976109     -55.924917     0.11365824    -0.27200963      2.3369659       3.55e-10      4.5385762           1.02             11
       6.9746993     -55.927137     0.21040893    -0.66934915      1.6968389       3.55e-10      4.7155217           1.02             11
       6.9717927     -55.967605    -0.22010322   -0.050435564      1.8505601       3.55e-10      4.5592455           1.02             11
       6.9733535      -55.93548     0.20766102    -0.60093004      1.6934851       3.55e-10      4.6111953           1.02             11
       6.9745248      -55.95951    -0.53085674   -0.024560478      2.5177882  3.4360986e-10      4.5890178          0.946             11
       6.9737693     -55.972527    -0.91982758    -0.17620619      1.7794845       3.55e-10      4.5875803           1.02             11
       6.9749348     -55.935762    -0.44855576    -0.54496507      1.8120943       3.55e-10      4.5461144           1.02             11
       6.9731955     -55.952682    -0.35590964    -0.64298942      2.3311977       3.55e-10      4.5932891           1.02             11
       6.9752458     -55.926405   0.0040314602    -0.49529507      2.5177882  3.6348116e-10      4.6068872          1.084             11
       6.9749617     -55.923358     0.66958007    -0.21447845      2.0797764       3.55e-10      4.5327419           1.02             11
         6.97512      -55.93188   -0.076442916   -0.084800741      2.5177882  2.5061928e-10      4.5679207          0.594             11
         6.97087     -55.955897    0.064080538     0.48254843      2.1057794  3.4392697e-10      4.0342389          0.948           1010
       6.9784962      -55.94803    -0.12895952    0.016227627      1.9248711       3.55e-10       4.314763           1.02           1001
       6.9748792     -55.966878     0.11477818     0.28418305      1.0796272       3.55e-10      4.5355496           1.02             11
        6.975686     -55.926423    0.041026778      0.3184859      1.7821043       3.55e-10      4.5852479           1.02             11
       6.9786315     -55.967715     0.16457613    -0.47334403      2.1129076   3.385562e-10      4.0104884          0.915           1001
       6.9740192     -55.968602     0.14157803    0.029721322      1.1565015       3.55e-10      4.5407969           1.02             11
       6.9737365     -55.941288     0.38644532    -0.20057266      2.0269885       3.55e-10      4.5985517           1.02             11
         6.97317     -55.944948    -0.22800262    -0.23726861      1.4998431       3.55e-10      4.6249816           1.02             11
        6.974469     -55.937665    -0.99772389      -0.496462      2.5177882  2.9764479e-10      4.7027013          0.731             11
        6.973652      -55.97298     0.10016381     0.34612415      2.1427739       3.55e-10      4.5291674           1.02             11
       6.9763098     -55.969077     0.71069889     0.17814785      1.9486753       3.55e-10      4.2372943           1.02           1001
       6.9752153     -55.931498    -0.22771444    -0.51741404      2.5177882       3.55e-10      4.5972655           1.02             11
       6.9784503     -55.940092    -0.36665276     0.15029723      2.1129076       3.55e-10      3.9938359           1.02           1001
        6.976395     -55.935378  -0.0057061118     0.13502673      2.1129076       3.55e-10      3.9467232           1.02           1001
        6.974765     -55.932287   -0.027016078    -0.18626579     0.99984144       3.55e-10      4.6277181           1.02             11
       6.9761522     -55.936335     0.01417069    0.037232609      2.5177882    3.29294e-10      4.6619802          0.867             11
       6.9745787     -55.962558    -0.18186933    0.022762891      2.1354979       3.55e-10      4.5250639           1.02             11
       6.9736718     -55.950402    -0.13677125   -0.099336036      2.5177882  3.3596188e-10      4.5732156          0.902             11
       6.9741235     -55.965153     0.28618695     0.29050944      2.5177882       3.55e-10       4.526912           1.02             11
       6.9741942     -55.967365      0.1329143    0.079387283      2.3359268       3.55e-10      4.5427283           1.02             11
       6.9744735     -55.935237    0.023044659     0.14582928      2.5177882  3.5239046e-10      4.6009846          1.002             11
        6.973509     -55.954923    -0.29942592     0.22562635      1.5845425       3.55e-10      4.5582567           1.02             11
       6.9742485     -55.953603     0.27404455     0.12268881      1.4046509       3.55e-10       4.561507           1.02             11
       6.9734278     -55.936587   -0.050995997   -0.097431632      2.3223931       3.55e-10      4.5852955           1.02             11
       6.9730057     -55.954173     0.10700884    -0.67008335      2.2870066       3.55e-10      4.6520039           1.02             11
       6.9755117     -55.949605     0.21690858   -0.086139617      2.5177882  3.4565306e-10      4.6684923          0.958             11
       6.9693867     -55.930675  -0.0065700751    0.006375434      2.1057794  3.1821975e-10      4.1673488          0.814           1010
       6.9739348     -55.938007    -0.51763185    -0.31909934      1.2186336       3.55e-10      4.5443024           1.02             11
       6.9761293     -55.933187   -0.088978927    -0.17289008      2.1195196       3.55e-10      4.6506462           1.02             11
       6.9731448     -55.967625    -0.24799096     0.32890753      2.0597071       3.55e-10      4.5353055           1.02             11
       6.9730843      -55.97343    -0.10812945     0.55481903      2.5177882  3.5974015e-10      4.5671461          1.056             11
        6.973119     -55.969152     0.13316618  -0.0063210487      2.1344071       3.55e-10       4.568969           1.02             11
       6.9752107     -55.939097    -0.16501473    -0.47417523      1.2274299       3.55e-10      4.6684586           1.02             11
       6.9801563     -55.933662    -0.28082373   -0.080052946      2.1129076    3.45363e-10      4.0721116          0.956           1001
        6.974701     -55.923458     0.16677055     0.38485231      1.9156299       3.55e-10      4.5970505           1.02             11
       6.9771067     -55.968955     0.26124349     0.40052757      2.0739904       3.55e-10      4.2322021           1.02           1001
       6.9739512      -55.95784   0.0067124113    -0.42653648       2.010797       3.55e-10      4.6220617           1.02             11
       6.9748237     -55.958753    -0.23635484     0.10460218      1.3567128       3.55e-10       4.573144           1.02             11
       6.9750808     -55.927465    -0.30971325     0.39516363      2.1327079       3.55e-10      4.6336513           1.02             11
        6.974406     -55.942765   -0.048015459    -0.42671363      1.5013546  2.2646832e-10      4.9360938          0.542           1100
       6.9740253       -55.9277    -0.19127106     0.34986579      1.9508971       3.55e-10      4.7006129           1.02             11
        6.974104     -55.954065   -0.068405628    -0.18840125      1.5134187       3.55e-10      4.5889743           1.02             11
       6.9748173     -55.966352     0.19466887     0.22806091      1.6071456       3.55e-10      4.6182025           1.02             11
        6.976176     -55.973855    -0.24218867    -0.39594712      2.1129076  3.3275405e-10      4.0590734          0.883           1001
       6.9727153      -55.97047    -0.16693635     0.13714115      2.5177882  3.2869741e-10      4.5938387          0.863             11
       6.9781013     -55.965068     0.18714517     0.14560158      2.1129076  2.5348152e-10       4.181424          0.601           1001
       6.9790042     -55.968563    -0.23275661     0.25556528      1.3708803  3.3650702e-10      3.3477205          0.904          11000
       6.9738687     -55.954165     -0.3789571     0.15804574      1.1686972       3.55e-10      4.5867342           1.02             11
        6.974438     -55.942268   -0.010189067   -0.032128018      2.2276274  3.7016657e-10      4.6211382          1.142             11
        6.974835     -55.948565   -0.054472078   -0.061444084      2.3308629  3.7207171e-10      4.7274066           1.16             11
       6.9739013     -55.951215     0.35439202    -0.38503854      2.5177882  3.4541532e-10      4.6178448          0.957             11
        6.973622     -55.963742     0.10892412    -0.21104664     0.73487646       3.55e-10      4.5517999           1.02             11
       6.9791392     -55.933515   -0.091537644     0.23489255      2.1129076  3.3227046e-10      3.9376524          0.881           1001
       6.9733292     -55.973703    -0.21253062    -0.41633771      1.9281698       3.55e-10      4.5547155           1.02             11
        6.973048     -55.957822    0.046539676    -0.38003558      2.1116314       3.55e-10      4.6564964           1.02             11
        6.976443     -55.975158     0.57651492      0.3508549      1.8934808       3.55e-10      4.4225286           1.02           1001
       6.9751572     -55.928925     0.54408029    -0.31189682       2.147138       3.55e-10       4.595618           1.02             11
       6.9727192     -55.967103     -0.2717137     0.37700651      1.7261483       3.55e-10      4.5688351           1.02             11
       6.9679702     -55.951472    -0.57843316     0.18412193      1.9709509  2.5462086e-10      4.4496717          0.604          11000
       6.9733772     -55.936508    -0.47779652    -0.28834855      2.5177882  3.6149178e-10      4.5655456           1.07             11
       6.9759163      -55.96449    -0.28805369    -0.11188425      2.1129076  3.0794122e-10      3.9828298           0.77           1001
       6.9738153     -55.970045    -0.36788731     0.13648804      2.4734884       3.55e-10      4.5448351           1.02             11
       6.9726703     -55.973412    0.086161895     0.15934051      2.1057794  2.8942605e-10      4.1120418          0.703           1010
       6.9731382     -55.952138   -0.084968043     -0.4773775      1.4590546       3.55e-10      4.5892825           1.02             11
       6.9692515     -55.955647   -0.093692466    -0.32786565      2.1057794  3.2934148e-10      4.0591723          0.867           1010
       6.9744352     -55.954125     -0.3796431     0.23300842      1.0069823       3.55e-10      4.5683433           1.02             11
       6.9755238     -55.962763    -0.50750435     0.21355778      1.3513027  3.4788331e-10       5.431495          0.973          11000
       6.9737868     -55.931293     0.71235999     0.24555419     0.82842699       3.55e-10      4.5349335           1.02             11
       6.9749832     -55.956197    -0.69978309    -0.39608959      2.1256195       3.55e-10      4.5664112           1.02             11
       6.9722672     -55.966263      0.2888163     0.43630242      1.3010894       3.55e-10      4.5526715           1.02             11
        6.975537     -55.936447     0.32354764      0.1458363      2.0277504       3.55e-10       4.564309           1.02             11
       6.9731587     -55.972303     0.43264913     0.47314494      2.5177882  3.6922275e-10      4.5353499          1.134             11
        6.974672     -55.966538    -0.42193604    -0.27632512      2.2991927       3.55e-10       4.551962           1.02             11
       6.9731537     -55.970445    -0.42728595    -0.34966771      2.5177882  3.4576744e-10      4.7349826           0.96             11
       6.9736178     -55.964355    -0.22046917     0.21104638      2.5177882  3.5633556e-10      4.5677541           1.03             11
       6.9753137     -55.955667    -0.13175543   -0.068786629      2.5177882  3.5434619e-10      4.7670635          1.016             11
        6.972811     -55.948508    -0.23163622   -0.048767631      1.4565323       3.55e-10      4.5619459           1.02             11
       6.9746888     -55.931958    -0.47817731    0.040257229      2.5177882       3.55e-10      4.5462557           1.02             11
       6.9685148      -55.95694    -0.46652888    -0.14530949      1.4567677       3.55e-10      4.4999823           1.02           1010
